,words
23037,anakin
23038,hangs
23039,back
23040,padmé
23041,dont
23042,say
23043,youre
23044,shy
23045,anakin
23046,untruthfully
23047,suddenly
23048,shouts
23049,two
23050,little
23051,girls
23052,ryoo
23053,age
23054,pooja
23055,age
23056,come
23057,running
23058,toward
23059,padmé
23060,padmé
23061,ryoo
23062,pooja
23063,padmé
23064,scoops
23065,ryoo
23066,pooja
23067,hugs
23068,padmé
23069,go
23070,wake
23071,artoo
23072,ryoo
23073,pooja
23074,artoo
23075,see
23076,droid
23077,hug
23078,artoo
23079,whistles
23080,beeps
23081,padmé
23082,laughs
23083,anakin
23084,padmé
23085,go
23086,toward
23087,house
23088,girls
23089,stay
23090,play
23091,artoo
23092,interior
23093,padmés
23094,parents
23095,house
23096,main
23097,room
23098,afternoon
23099,sola
23100,padmés
23101,beautiful
23102,older
23103,sister
23104,comes
23105,kitchen
23106,carrying
23107,big
23108,bowl
23109,food
23110,sola
23111,shoulder
23112,theyre
23113,eating
23114,jev
23115,narrans
23116,later
23117,mom
23118,snack
23119,theyll
23120,fine
23121,sola
23122,puts
23123,bowl
23124,table
23125,anakin
23126,padmé
23127,ruwee
23128,naberrie
23129,padmes
23130,father
23131,coming
23132,room
23133,sola
23134,padmé
23135,hugging
23136,youre
23137,late
23138,mom
23139,worried
23140,padmé
23141,walked
23142,anakin
23143,sister
23144,sola
23145,sola
23146,hello
23147,anakin
23148,anakin
23149,hello
23150,sola
23151,sits
23152,jobal
23153,naberrie
23154,padmes
23155,mother
23156,comes
23157,heaped
23158,bowl
23159,steaming
23160,food
23161,padmé
23162,mother
23163,jobal
23164,youre
23165,time
23166,dinner
23167,hope
23168,youre
23169,hungry
23170,anakin
23171,anakin
23172,little
23173,padmé
23174,hes
23175,polite
23176,mom
23177,starving
23178,ruwee
23179,grinning
23180,came
23181,right
23182,place
23183,right
23184,time
23185,everyone
23186,sits
23187,starts
23188,passing
23189,food
23190,jobal
23191,padmé
23192,honey
23193,good
23194,see
23195,safe
23196,worried
23197,padmé
23198,gives
23199,jobal
23200,dirty
23201,look
23202,ruwee
23203,smiles
23204,watches
23205,ruwee
23206,dear
23207,jobal
23208,know
23209,know
23210,say
23211,done
23212,sola
23213,well
23214,exciting
23215,know
23216,anakin
23217,youre
23218,first
23219,boyfriend
23220,sisters
23221,ever
23222,brought
23223,home
23224,padmé
23225,rolls
23226,eyes
23227,sola
23228,isnt
23229,boyfriend
23230,hes
23231,jedi
23232,assigned
23233,senate
23234,protect
23235,joval
23236,bodyguard
23237,oh
23238,padme
23239,didnt
23240,tell
23241,us
23242,serious
23243,padmé
23244,mom
23245,promise
23246,glances
23247,jobal
23248,anyway
23249,anakins
23250,friend
23251,ive
23252,known
23253,years
23254,remember
23255,little
23256,boy
23257,jedi
23258,blockade
23259,crisis
23260,nod
23261,padmé
23262,grew
23263,jobal
23264,honey
23265,going
23266,settle
23267,havent
23268,enough
23269,life
23270,certainly
23271,padmé
23272,mom
23273,im
23274,danger
23275,ruwee
23276,anakin
23277,anakin
23278,yes
23279,im
23280,afraid
23281,padmé
23282,quickly
23283,much
23284,exterior
23285,padmés
23286,parents
23287,garden
23288,afternoon
23289,anakin
23290,ruwee
23291,walking
23292,ruwee
23293,sometimes
23294,wish
23295,id
23296,traveled
23297,must
23298,say
23299,im
23300,happy
23301,anakin
23302,padmé
23303,tells
23304,teach
23305,university
23306,ruwee
23307,nodding
23308,yes
23309,builder
23310,also
23311,worked
23312,refugee
23313,relief
23314,movement
23315,young
23316,interior
23317,padmés
23318,parents
23319,house
23320,main
23321,room
23322,afternoon
23323,padmé
23324,sola
23325,jobal
23326,clearing
23327,table
23328,sola
23329,havent
23330,told
23331,us
23332,padmé
23333,whats
23334,talk
23335,hes
23336,boy
23337,sola
23338,boy
23339,seen
23340,way
23341,looks
23342,padmé
23343,sola
23344,stop
23345,sola
23346,obvious
23347,feelings
23348,saying
23349,little
23350,baby
23351,sister
23352,havent
23353,noticed
23354,padmé
23355,im
23356,baby
23357,sister
23358,sola
23359,anakin
23360,friends
23361,relationship
23362,strictly
23363,professional
23364,jobal
23365,mom
23366,would
23367,tell
23368,stop
23369,sola
23370,laughing
23371,well
23372,maybe
23373,havent
23374,noticed
23375,way
23376,looks
23377,think
23378,youre
23379,afraid
23380,padmé
23381,cut
23382,jobal
23383,solas
23384,concerned
23385,padmé
23386,oh
23387,mom
23388,youre
23389,impossible
23390,im
23391,important
23392,jobal
23393,youve
23394,done
23395,service
23396,padmé
23397,time
23398,life
23399,youre
23400,missing
23401,much
23402,exterior
23403,padmés
23404,parents
23405,garden
23406,afternoon
23407,anakin
23408,ruwee
23409,walking
23410,garden
23411,ruwee
23412,stops
23413,faces
23414,anakin
23415,directly
23416,ruwee
23417,tell
23418,son
23419,serious
23420,thing
23421,much
23422,danger
23423,daughter
23424,really
23425,anakin
23426,two
23427,attempts
23428,life
23429,chances
23430,therell
23431,master
23432,tracking
23433,assassins
23434,im
23435,sure
23436,hell
23437,find
23438,situation
23439,wont
23440,last
23441,long
23442,ruwee
23443,dont
23444,want
23445,anything
23446,happen
23447,anakin
23448,dont
23449,either
23450,interior
23451,padmés
23452,parents
23453,house
23454,padmés
23455,room
23456,afternoon
23457,padmé
23458,throws
23459,things
23460,bag
23461,padmé
23462,dont
23463,worry
23464,wont
23465,take
23466,long
23467,anakin
23468,want
23469,get
23470,dark
23471,padmé
23472,goes
23473,packing
23474,anakin
23475,looks
23476,around
23477,room
23478,anakin
23479,still
23480,live
23481,home
23482,padmé
23483,move
23484,around
23485,much
23486,ive
23487,never
23488,place
23489,official
23490,residences
23491,warmth
23492,feel
23493,good
23494,feel
23495,home
23496,anakin
23497,never
23498,real
23499,home
23500,home
23501,always
23502,mom
23503,anakin
23504,picks
23505,framed
23506,hologram
23507,anakin
23508,hologram
23509,shows
23510,padmé
23511,age
23512,seven
23513,eight
23514,surrounded
23515,forty
23516,fifty
23517,little
23518,green
23519,creatures
23520,holding
23521,one
23522,arms
23523,smiling
23524,hugely
23525,padmé
23526,went
23527,relief
23528,group
23529,shaddabiboran
23530,sun
23531,imploding
23532,planet
23533,dying
23534,helping
23535,relocate
23536,children
23537,see
23538,little
23539,one
23540,im
23541,holding
23542,name
23543,nakeetula
23544,means
23545,sweetheart
23546,full
23547,life
23548,kids
23549,never
23550,able
23551,adapt
23552,live
23553,native
23554,planet
23555,anakin
23556,picks
23557,another
23558,hologram
23559,shows
23560,padmé
23561,age
23562,ten
23563,eleven
23564,wearing
23565,official
23566,robes
23567,standing
23568,two
23569,robed
23570,legislators
23571,expression
23572,severe
23573,padmé
23574,first
23575,day
23576,apprentice
23577,legislator
23578,notice
23579,difference
23580,padmé
23581,pulls
23582,face
23583,anakin
23584,grins
23585,continues
23586,packing
23587,anakin
23588,sets
23589,two
23590,holograms
23591,side
23592,side
23593,beaming
23594,little
23595,girl
23596,stern
23597,unsmiling
23598,adolescent
23599,exterior
23600,space
23601,view
23602,like
23603,star
23604,map
23605,hologram
23606,plus
23607,stormshrouded
23608,planet
23609,kamino
23610,exactly
23611,ought
23612,obiwans
23613,starship
23614,disengages
23615,hyperspace
23616,transport
23617,ring
23618,flies
23619,camera
23620,heads
23621,toward
23622,planet
23623,obiwan
23624,arfour
23625,right
23626,missing
23627,planet
23628,kamino
23629,files
23630,altered
23631,exterior
23632,tipoca
23633,city
23634,kamino
23635,landing
23636,platform
23637,rainstorm
23638,day
23639,heavy
23640,rains
23641,harddriving
23642,winds
23643,lash
23644,platform
23645,obiwans
23646,starship
23647,approaches
23648,huge
23649,ultramodern
23650,city
23651,tipoca
23652,rests
23653,great
23654,stilts
23655,keep
23656,pounding
23657,everpresent
23658,waves
23659,cover
23660,surface
23661,watery
23662,world
23663,starfighter
23664,lands
23665,obiwan
23666,gets
23667,makes
23668,way
23669,howling
23670,wind
23671,toward
23672,tower
23673,far
23674,side
23675,platform
23676,door
23677,slides
23678,open
23679,shaft
23680,brilliant
23681,light
23682,pierces
23683,swirling
23684,rain
23685,obiwan
23686,passes
23687,goes
23688,inside
23689,interior
23690,tipoca
23691,city
23692,corridor
23693,entrance
23694,day
23695,brilliant
23696,white
23697,light
23698,obiwan
23699,pushes
23700,soaking
23701,hood
23702,face
23703,taun
23704,master
23705,jedi
23706,good
23707,see
23708,obiwan
23709,wipes
23710,rain
23711,face
23712,blinks
23713,surprise
23714,tall
23715,pastywhite
23716,alien
23717,named
23718,taun
23719,large
23720,almond
23721,shaped
23722,eyes
23723,taun
23724,prime
23725,minister
23726,expects
23727,obiwan
23728,warily
23729,im
23730,expected
23731,taun
23732,course
23733,anxious
23734,meet
23735,years
23736,beginning
23737,think
23738,werent
23739,coming
23740,please
23741,way
23742,obiwan
23743,masks
23744,surprise
23745,move
23746,away
23747,along
23748,corridor
23749,interior
23750,tipoca
23751,city
23752,prime
23753,minister
23754,office
23755,day
23756,door
23757,slides
23758,open
23759,obiwan
23760,taun
23761,enter
23762,cross
23763,lama
23764,su
23765,rises
23766,smiling
23767,chair
23768,like
23769,furniture
23770,kamino
23771,seems
23772,made
23773,pure
23774,light
23775,taun
23776,may
23777,present
23778,lama
23779,su
23780,prime
23781,minister
23782,kamino
23783,master
23784,jedi
23785,obiwan
23786,obiwan
23787,kenobi
23788,lama
23789,su
23790,indicates
23791,chair
23792,obiwan
23793,remains
23794,standing
23795,taun
23796,hovers
23797,room
23798,bathed
23799,brilliant
23800,white
23801,light
23802,whole
23803,place
23804,ultra
23805,hightech
23806,lama
23807,su
23808,trust
23809,going
23810,enjoy
23811,stay
23812,happy
23813,arrived
23814,best
23815,part
23816,season
23817,obiwan
23818,make
23819,feel
23820,welcome
23821,lama
23822,su
23823,please
23824,gestures
23825,chair
23826,business
23827,delighted
23828,hear
23829,schedule
23830,two
23831,hundred
23832,thousand
23833,units
23834,ready
23835,another
23836,million
23837,well
23838,way
23839,obiwan
23840,improvising
23841,good
23842,news
23843,lama
23844,su
23845,please
23846,tell
23847,master
23848,sifodyas
23849,every
23850,confidence
23851,order
23852,met
23853,time
23854,full
23855,well
23856,hope
23857,obiwan
23858,im
23859,sorry
23860,master
23861,lama
23862,su
23863,jedi
23864,master
23865,sifodyas
23866,hes
23867,still
23868,leading
23869,member
23870,jedi
23871,council
23872,obiwan
23873,master
23874,sifodyas
23875,killed
23876,almost
23877,ten
23878,years
23879,ago
23880,lama
23881,su
23882,oh
23883,im
23884,sorry
23885,hear
23886,im
23887,sure
23888,would
23889,proud
23890,army
23891,weve
23892,built
23893,obiwan
23894,army
23895,lama
23896,su
23897,yes
23898,clone
23899,army
23900,must
23901,say
23902,one
23903,finest
23904,weve
23905,ever
23906,created
23907,obiwan
23908,tell
23909,prime
23910,minister
23911,master
23912,first
23913,contacted
23914,army
23915,say
23916,lama
23917,su
23918,course
23919,army
23920,republic
23921,must
23922,anxious
23923,inspect
23924,units
23925,obiwan
23926,thats
23927,im
23928,obiwan
23929,lama
23930,su
23931,rise
23932,walk
23933,toward
23934,door
23935,exterior
23936,naboo
23937,lake
23938,retreat
23939,water
23940,speeder
23941,landing
23942,platform
23943,late
23944,afternoon
23945,water
23946,speeder
23947,driven
23948,paddy
23949,accu
23950,retreat
23951,caretaker
23952,docks
23953,island
23954,landing
23955,platform
23956,anakin
23957,padmé
23958,disembark
23959,water
23960,speeder
23961,base
23962,lodge
23963,rising
23964,beautiful
23965,island
23966,middle
23967,lake
23968,exterior
23969,naboo
23970,lake
23971,retreat
23972,lodge
23973,garden
23974,terrace
23975,late
23976,afternoon
23977,anakin
23978,padmé
23979,walk
23980,stairs
23981,water
23982,speeder
23983,parked
23984,onto
23985,terrace
23986,overlooking
23987,lovely
23988,garden
23989,behind
23990,paddy
23991,accu
23992,follows
23993,anakin
23994,padmé
23995,stop
23996,balustrade
23997,padmé
23998,looks
23999,across
24000,garden
24001,shimmering
24002,lake
24003,mountains
24004,rising
24005,beyond
24006,anakin
24007,looks
24008,padmé
24009,level
24010,three
24011,used
24012,come
24013,school
24014,retreat
24015,see
24016,island
24017,used
24018,swim
24019,every
24020,day
24021,love
24022,water
24023,anakin
24024,guess
24025,comes
24026,growing
24027,desert
24028,planet
24029,padmé
24030,becomes
24031,aware
24032,anakin
24033,looking
24034,padmé
24035,used
24036,lie
24037,sand
24038,let
24039,sun
24040,dry
24041,us
24042,try
24043,guess
24044,names
24045,birds
24046,singing
24047,anakin
24048,dont
24049,like
24050,sand
24051,coarse
24052,rough
24053,irritating
24054,gets
24055,everywhere
24056,like
24057,everythings
24058,soft
24059,smooth
24060,touches
24061,arm
24062,padmé
24063,become
24064,receptive
24065,way
24066,looks
24067,nervous
24068,padmé
24069,old
24070,man
24071,lived
24072,island
24073,used
24074,make
24075,glass
24076,sand
24077,vases
24078,necklaces
24079,glass
24080,magical
24081,anakin
24082,looks
24083,eyes
24084,everything
24085,magical
24086,padmé
24087,could
24088,look
24089,glass
24090,see
24091,water
24092,way
24093,ripples
24094,moves
24095,looked
24096,real
24097,wasnt
24098,anakin
24099,sometimes
24100,believe
24101,something
24102,real
24103,becomes
24104,real
24105,look
24106,others
24107,eyes
24108,padmé
24109,used
24110,think
24111,looked
24112,deeply
24113,glass
24114,would
24115,lose
24116,anakin
24117,think
24118,true
24119,anakin
24120,kisses
24121,padmé
24122,doesnt
24123,resist
24124,comes
24125,senses
24126,pulls
24127,away
24128,padmé
24129,shouldnt
24130,done
24131,anakin
24132,im
24133,sorry
24134,im
24135,around
24136,mind
24137,longer
24138,looks
24139,exterior
24140,tipoca
24141,city
24142,parade
24143,ground
24144,rainstorm
24145,day
24146,obiwan
24147,lama
24148,su
24149,taun
24150,come
24151,onto
24152,balcony
24153,huge
24154,parade
24155,ground
24156,rain
24157,wind
24158,brutal
24159,thousands
24160,clone
24161,troopers
24162,faces
24163,covered
24164,helmets
24165,marching
24166,drilling
24167,formations
24168,several
24169,hundred
24170,lama
24171,su
24172,beaming
24173,magnificent
24174,arent
24175,obiwan
24176,nods
24177,slowly
24178,interior
24179,tipoca
24180,city
24181,clone
24182,center
24183,classroom
24184,day
24185,tour
24186,continues
24187,classroom
24188,filled
24189,identical
24190,young
24191,boy
24192,clones
24193,lama
24194,su
24195,take
24196,great
24197,pride
24198,combat
24199,education
24200,training
24201,programs
24202,group
24203,created
24204,five
24205,years
24206,ago
24207,obiwan
24208,mentioned
24209,growth
24210,acceleration
24211,lama
24212,su
24213,oh
24214,yes
24215,essential
24216,otherwise
24217,mature
24218,clone
24219,would
24220,take
24221,lifetime
24222,grow
24223,half
24224,time
24225,items
24226,saw
24227,parade
24228,ground
24229,started
24230,ten
24231,years
24232,ago
24233,sifodyas
24234,first
24235,placed
24236,order
24237,theyre
24238,already
24239,mature
24240,interior
24241,tipoca
24242,city
24243,clone
24244,center
24245,commissary
24246,day
24247,lama
24248,su
24249,conducts
24250,obiwan
24251,large
24252,eating
24253,area
24254,taun
24255,follows
24256,walk
24257,hundreds
24258,clones
24259,look
24260,exactly
24261,alike
24262,twenty
24263,years
24264,old
24265,dressed
24266,black
24267,seated
24268,tables
24269,eating
24270,lama
24271,su
24272,youll
24273,find
24274,totally
24275,obedient
24276,taking
24277,order
24278,without
24279,question
24280,modified
24281,genetic
24282,structure
24283,make
24284,less
24285,independent
24286,original
24287,host
24288,obiwan
24289,original
24290,host
24291,lama
24292,su
24293,bounty
24294,hunter
24295,called
24296,jango
24297,fett
24298,felt
24299,jedi
24300,would
24301,perfect
24302,choice
24303,sifodyas
24304,handpicked
24305,jango
24306,fett
24307,obiwan
24308,bounty
24309,hunter
24310,lama
24311,su
24312,oh
24313,keep
24314,interior
24315,tipoca
24316,city
24317,clone
24318,center
24319,barracks
24320,day
24321,tour
24322,continues
24323,long
24324,corridor
24325,filled
24326,narrow
24327,transparent
24328,tubes
24329,clones
24330,climbing
24331,tube
24332,clone
24333,goes
24334,sleep
24335,lama
24336,su
24337,apart
24338,pay
24339,considerable
24340,fett
24341,demanded
24342,one
24343,thing
24344,unaltered
24345,clone
24346,curious
24347,isnt
24348,obiwan
24349,unaltered
24350,lama
24351,su
24352,pure
24353,genetic
24354,replication
24355,tampering
24356,structure
24357,make
24358,docile
24359,growth
24360,acceleration
24361,obiwan
24362,would
24363,much
24364,like
24365,meet
24366,jango
24367,fett
24368,taun
24369,would
24370,happy
24371,arrange
24372,taun
24373,bows
24374,leaves
24375,exterior
24376,naboo
24377,mountain
24378,meadow
24379,late
24380,afternoon
24381,padmé
24382,anakin
24383,middle
24384,idyllic
24385,hilly
24386,meadow
24387,lush
24388,grasses
24389,sprinkled
24390,flowers
24391,distance
24392,herd
24393,shaaks
24394,graze
24395,contentedly
24396,beyond
24397,shimmering
24398,expanse
24399,lake
24400,several
24401,lakes
24402,stretch
24403,horizon
24404,warm
24405,air
24406,full
24407,little
24408,floating
24409,puffballs
24410,sit
24411,grass
24412,playful
24413,coy
24414,mood
24415,talking
24416,padmé
24417,picking
24418,flowers
24419,padmé
24420,dont
24421,know
24422,anakin
24423,sure
24424,dont
24425,want
24426,tell
24427,padmé
24428,going
24429,use
24430,one
24431,jedi
24432,mind
24433,tricks
24434,anakin
24435,work
24436,weakminded
24437,anything
24438,weakminded
24439,padmé
24440,right
24441,twelve
24442,name
24443,palo
24444,legislative
24445,youth
24446,program
24447,years
24448,older
24449,cute
24450,dark
24451,curly
24452,hair
24453,dreamy
24454,eyes
24455,anakin
24456,right
24457,get
24458,picture
24459,whatever
24460,happened
24461,padmé
24462,went
24463,public
24464,service
24465,went
24466,become
24467,artist
24468,anakin
24469,maybe
24470,smart
24471,one
24472,padmé
24473,really
24474,dont
24475,like
24476,politicians
24477,anakin
24478,like
24479,two
24480,three
24481,im
24482,really
24483,sure
24484,one
24485,smiling
24486,dont
24487,think
24488,system
24489,works
24490,padmé
24491,would
24492,work
24493,anakin
24494,need
24495,system
24496,politicians
24497,sit
24498,discuss
24499,problem
24500,agree
24501,whats
24502,best
24503,interests
24504,people
24505,padmé
24506,exactly
24507,trouble
24508,people
24509,dont
24510,always
24511,agree
24512,fact
24513,hardly
24514,ever
24515,anakin
24516,made
24517,padmé
24518,whos
24519,going
24520,make
24521,anakin
24522,dont
24523,know
24524,someone
24525,padmé
24526,anakin
24527,course
24528,padmé
24529,someone
24530,anakin
24531,someone
24532,wise
24533,padmé
24534,sounds
24535,awful
24536,lot
24537,like
24538,dictatorship
24539,mischievous
24540,little
24541,grin
24542,creeps
24543,across
24544,face
24545,anakin
24546,well
24547,works
24548,padmé
24549,stares
24550,anakin
24551,looks
24552,back
24553,straight
24554,faced
24555,cant
24556,hold
24557,back
24558,smile
24559,padmé
24560,youre
24561,making
24562,fun
24563,anakin
24564,sarcastic
24565,oh
24566,id
24567,much
24568,frightened
24569,tease
24570,senator
24571,padmé
24572,youre
24573,bad
24574,padmé
24575,picks
24576,piece
24577,fruit
24578,throws
24579,catches
24580,padmé
24581,throws
24582,two
24583,pieces
24584,fruit
24585,anakin
24586,catches
24587,anakin
24588,youre
24589,always
24590,serious
24591,padmé
24592,im
24593,serious
24594,anakin
24595,starts
24596,juggle
24597,fruit
24598,padmé
24599,laughs
24600,throws
24601,fruit
24602,manages
24603,juggle
24604,many
24605,loses
24606,control
24607,ducks
24608,letting
24609,food
24610,fall
24611,head
24612,laugh
24613,anakin
24614,stands
24615,front
24616,shaak
24617,yelling
24618,waving
24619,arms
24620,padmé
24621,starts
24622,laughing
24623,anakin
24624,runs
24625,circles
24626,chased
24627,shaak
24628,exterior
24629,naboo
24630,mountain
24631,meadow
24632,late
24633,afteroon
24634,shaak
24635,crosses
24636,front
24637,padmé
24638,anakin
24639,riding
24640,facing
24641,shaaks
24642,tail
24643,anakin
24644,attempts
24645,stand
24646,galloping
24647,shaaks
24648,back
24649,shaak
24650,bucks
24651,anakin
24652,loses
24653,balance
24654,falls
24655,padmé
24656,laughs
24657,even
24658,harder
24659,anakin
24660,lies
24661,still
24662,concerned
24663,padmé
24664,jumps
24665,runs
24666,anakin
24667,face
24668,grass
24669,padmé
24670,annie
24671,annie
24672,right
24673,turns
24674,pulling
24675,stupid
24676,face
24677,laughing
24678,yelps
24679,mock
24680,fury
24681,takes
24682,swing
24683,catches
24684,arm
24685,struggles
24686,roll
24687,grass
24688,embracing
24689,looking
24690,others
24691,eyes
24692,suddenly
24693,become
24694,aware
24695,contact
24696,let
24697,go
24698,quickly
24699,sit
24700,looking
24701,away
24702,anakin
24703,stands
24704,holds
24705,hand
24706,takes
24707,pulls
24708,easy
24709,together
24710,selfconscious
24711,padmé
24712,scrambles
24713,onto
24714,shaak
24715,behind
24716,anakin
24717,puts
24718,arms
24719,around
24720,waist
24721,leans
24722,back
24723,anakin
24724,digs
24725,heels
24726,shaak
24727,starts
24728,forward
24729,ride
24730,away
24731,exterior
24732,tipoca
24733,city
24734,rainstorm
24735,day
24736,rain
24737,lashes
24738,city
24739,mighty
24740,waves
24741,pound
24742,stilts
24743,breaking
24744,almost
24745,height
24746,platforms
24747,large
24748,avian
24749,carrying
24750,rainsoaked
24751,rider
24752,flies
24753,water
24754,toward
24755,floating
24756,city
24757,interior
24758,tipoca
24759,city
24760,corridor
24761,day
24762,taun
24763,obiwan
24764,stand
24765,front
24766,door
24767,jango
24768,fetts
24769,apartment
24770,taun
24771,waves
24772,hand
24773,muted
24774,bell
24775,rings
24776,wait
24777,obiwan
24778,notes
24779,door
24780,lock
24781,entry
24782,mechanism
24783,door
24784,opens
24785,tenyearold
24786,boy
24787,boba
24788,fett
24789,looks
24790,identical
24791,boys
24792,classroom
24793,taun
24794,boba
24795,father
24796,brief
24797,pause
24798,boba
24799,fett
24800,yep
24801,taun
24802,may
24803,see
24804,boba
24805,fett
24806,sure
24807,another
24808,brief
24809,pause
24810,boba
24811,fett
24812,steps
24813,aside
24814,taun
24815,obiwan
24816,go
24817,interior
24818,tipoca
24819,city
24820,fett
24821,apartment
24822,day
24823,obiwan
24824,taun
24825,boba
24826,fett
24827,enter
24828,apartment
24829,obi
24830,wan
24831,looks
24832,around
24833,room
24834,boba
24835,fett
24836,dad
24837,taun
24838,wes
24839,jango
24840,fett
24841,comes
24842,bedroom
24843,wears
24844,jumpsuit
24845,unshaven
24846,mean
24847,looking
24848,face
24849,pitted
24850,scars
24851,old
24852,wounds
24853,couple
24854,weird
24855,tattoos
24856,muscular
24857,forearms
24858,eyes
24859,obiwan
24860,suspicion
24861,taun
24862,jango
24863,welcome
24864,back
24865,trip
24866,productive
24867,jango
24868,fett
24869,fairly
24870,obiwan
24871,jango
24872,fett
24873,size
24874,boba
24875,fett
24876,studies
24877,taun
24878,jedi
24879,master
24880,obiwan
24881,kenobi
24882,hes
24883,come
24884,check
24885,progress
24886,jango
24887,fett
24888,right
24889,jango
24890,fetts
24891,eyes
24892,fix
24893,obiwan
24894,coldly
24895,obiwan
24896,clones
24897,impressive
24898,must
24899,proud
24900,jango
24901,fett
24902,im
24903,simple
24904,man
24905,trying
24906,make
24907,way
24908,universe
24909,master
24910,jedi
24911,obiwan
24912,arent
24913,obiwan
24914,eyes
24915,halfopen
24916,bedroom
24917,door
24918,couple
24919,pieces
24920,body
24921,armor
24922,seen
24923,floor
24924,jango
24925,fett
24926,registers
24927,obiwans
24928,look
24929,moves
24930,front
24931,blocking
24932,view
24933,obiwan
24934,ever
24935,make
24936,way
24937,far
24938,interior
24939,coruscant
24940,jango
24941,fett
24942,twice
24943,obiwan
24944,recently
24945,jango
24946,fett
24947,eyes
24948,obiwan
24949,carefully
24950,possibly
24951,obiwan
24952,must
24953,know
24954,master
24955,sifodyas
24956,jango
24957,fett
24958,huttese
24959,boba
24960,close
24961,door
24962,boba
24963,fett
24964,moves
24965,close
24966,bedroom
24967,door
24968,jango
24969,fett
24970,smiles
24971,thinly
24972,obiwan
24973,jango
24974,fett
24975,master
24976,obiwan
24977,sifodyas
24978,jedi
24979,hired
24980,job
24981,jango
24982,fett
24983,never
24984,heard
24985,obiwan
24986,really
24987,jango
24988,fett
24989,recruited
24990,man
24991,called
24992,darth
24993,tyranus
24994,one
24995,moons
24996,bogden
24997,obiwan
24998,thought
24999,taun
25000,sifodyas
25001,told
25002,us
25003,expect
25004,showed
25005,jedi
25006,master
25007,said
25008,would
25009,kept
25010,jedis
25011,involvement
25012,secret
25013,arrival
25014,master
25015,requested
25016,obiwan
25017,curious
25018,jango
25019,fett
25020,like
25021,army
25022,obiwan
25023,look
25024,forward
25025,seeing
25026,action
25027,jango
25028,fett
25029,grinning
25030,theyll
25031,job
25032,well
25033,ill
25034,guarantee
25035,obiwan
25036,thanks
25037,time
25038,jango
25039,jango
25040,fett
25041,always
25042,pleasure
25043,meet
25044,jedi
25045,obiwan
25046,taun
25047,go
25048,door
25049,slides
25050,closed
25051,jango
25052,fett
25053,turns
25054,son
25055,deep
25056,thought
25057,boba
25058,fett
25059,dad
25060,jango
25061,fett
25062,pack
25063,things
25064,leaving
25065,exterior
25066,naboo
25067,lake
25068,retreat
25069,lounge
25070,late
25071,afternoon
25072,setting
25073,sun
25074,touches
25075,mountain
25076,peaks
25077,lake
25078,glows
25079,rosetinted
25080,light
25081,floating
25082,lamps
25083,gleam
25084,softly
25085,like
25086,jewels
25087,lodge
25088,interior
25089,naboo
25090,lake
25091,retreat
25092,dining
25093,room
25094,late
25095,afternoon
25096,nandi
25097,places
25098,dessert
25099,front
25100,padmé
25101,teckla
25102,anakin
25103,dessert
25104,kind
25105,fruit
25106,anakin
25107,got
25108,went
25109,aggressive
25110,negotiations
25111,teckla
25112,thank
25113,padmé
25114,aggressive
25115,negotiations
25116,whats
25117,anakin
25118,uh
25119,well
25120,negotiations
25121,lightsaber
25122,padmé
25123,laughing
25124,oh
25125,padmé
25126,picks
25127,fork
25128,goes
25129,spear
25130,piece
25131,moves
25132,frowns
25133,tries
25134,fruit
25135,moves
25136,looks
25137,anakin
25138,eyes
25139,plate
25140,padmé
25141,anakin
25142,looks
25143,wideeyed
25144,innocence
25145,anakin
25146,padmé
25147,scowls
25148,padmé
25149,jabs
25150,fruit
25151,anakin
25152,subtly
25153,moves
25154,hand
25155,lifts
25156,plate
25157,hovers
25158,front
25159,padmé
25160,stop
25161,padmé
25162,laughs
25163,anakin
25164,laughs
25165,reaches
25166,fruit
25167,loops
25168,padmé
25169,anakin
25170,anakin
25171,moves
25172,fingers
25173,fruit
25174,flies
25175,hand
25176,anakin
25177,master
25178,obiwan
25179,caught
25180,hed
25181,grumpy
25182,anakin
25183,pleased
25184,cuts
25185,fruit
25186,several
25187,pieces
25188,sends
25189,one
25190,back
25191,padmé
25192,bites
25193,air
25194,laughs
25195,interior
25196,naboo
25197,lake
25198,retreat
25199,lodge
25200,fireplace
25201,alcove
25202,twilight
25203,fire
25204,blazes
25205,open
25206,hearth
25207,padmé
25208,anakin
25209,sitting
25210,front
25211,gazing
25212,flames
25213,looks
25214,anakin
25215,leans
25216,kiss
25217,padmé
25218,anakin
25219,anakin
25220,moment
25221,met
25222,years
25223,ago
25224,day
25225,hasnt
25226,gone
25227,havent
25228,thought
25229,im
25230,im
25231,agony
25232,closer
25233,get
25234,worse
25235,gets
25236,thought
25237,makes
25238,stomach
25239,turn
25240,mouth
25241,goes
25242,dry
25243,feel
25244,dizzy
25245,cant
25246,breathe
25247,im
25248,haunted
25249,kiss
25250,never
25251,given
25252,heart
25253,beating
25254,hoping
25255,kiss
25256,become
25257,scar
25258,soul
25259,tormenting
25260,anything
25261,ask
25262,silence
25263,logs
25264,flame
25265,hearth
25266,padmé
25267,meets
25268,eye
25269,looks
25270,away
25271,anakin
25272,suffering
25273,much
25274,tell
25275,padmé
25276,cant
25277,cant
25278,possible
25279,anakin
25280,anythings
25281,possible
25282,padmé
25283,please
25284,listen
25285,padmé
25286,listen
25287,live
25288,real
25289,world
25290,come
25291,back
25292,youre
25293,studying
25294,become
