,words
606,area
607,stop
608,transform
609,battle
610,configuration
611,quigon
612,cant
613,see
614,senses
615,presence
616,quigon
617,destroyer
618,droids
619,obiwan
620,offhand
621,id
622,say
623,mission
624,past
625,negotiaion
626,stage
627,wheel
628,droids
629,led
630,p
631,rush
632,entry
633,area
634,three
635,hallways
636,blasting
637,away
638,laser
639,guns
640,stop
641,firing
642,stand
643,semicircle
644,smoke
645,clears
646,obiwan
647,quigon
648,nowhere
649,seen
650,p
651,switch
652,biothere
653,jedi
654,materialize
655,far
656,end
657,hallway
658,dash
659,doorway
660,slams
661,shut
662,wheel
663,droids
664,blast
665,away
666,two
667,jedi
668,laser
669,swords
670,obiwan
671,shield
672,generators
673,quigon
674,standoff
675,lets
676,go
677,int
678,federation
679,battleship
680,bridge
681,nute
682,rune
683,stand
684,bridge
685,watching
686,view
687,screen
688,wheel
689,droids
690,pov
691,speeds
692,doorway
693,rune
694,run
695,sirtheyre
696,match
697,destroyer
698,droids
699,tey
700,sir
701,theyve
702,gone
703,ventilation
704,shaft
705,int
706,federation
707,battleship
708,main
709,bay
710,quigon
711,obiwan
712,appear
713,large
714,vent
715,giant
716,hanger
717,bay
718,careful
719,seen
720,thousands
721,battle
722,droids
723,loading
724,onto
725,landing
726,craft
727,quigon
728,battle
729,droids
730,obiwan
731,invisible
732,army
733,quigon
734,odd
735,play
736,trade
737,federation
738,weve
739,got
740,warn
741,naboo
742,contact
743,chancellor
744,valorum
745,lets
746,split
747,stow
748,aboard
749,separate
750,ships
751,meet
752,planet
753,obiwan
754,right
755,one
756,thing
757,master
758,negotiations
759,short
760,int
761,federation
762,battleship
763,bridge
764,tey
765,recieves
766,transmission
767,tey
768,sir
769,transmission
770,planet
771,rune
772,queen
773,amidala
774,nute
775,last
776,getting
777,results
778,view
779,screen
780,queen
781,amidala
782,appears
783,throne
784,room
785,wearing
786,elaborate
787,headdress
788,robes
789,sits
790,surrounded
791,governing
792,council
793,four
794,handmaidens
795,eirtae
796,yane
797,rabe
798,sache
799,nute
800,contd
801,come
802,highness
803,federation
804,pleased
805,amidala
806,pleased
807,hear
808,say
809,viceroyyour
810,trade
811,boycott
812,planet
813,ended
814,nute
815,smirks
816,rune
817,nute
818,aware
819,failure
820,amidala
821,word
822,senate
823,finally
824,voting
825,blockade
826,nute
827,take
828,know
829,outcome
830,wonder
831,bother
832,vote
833,amidala
834,enough
835,pretense
836,viceroy
837,im
838,aware
839,chancellors
840,ambassadors
841,beencommanded
842,reach
843,settlement
844,nute
845,know
846,nothing
847,ambassadorsyou
848,must
849,mistaken
850,amidala
851,surprised
852,reaction
853,studies
854,carefully
855,amidala
856,beware
857,viceroythe
858,federation
859,going
860,far
861,time
862,nute
863,highness
864,would
865,never
866,anything
867,without
868,approval
869,senate
870,assume
871,much
872,amidala
873,see
874,queen
875,fades
876,view
877,screen
878,goes
879,black
880,rune
881,shes
882,right
883,senate
884,never
885,nute
886,late
887,rune
888,think
889,suspects
890,attack
891,nute
892,dont
893,know
894,must
895,move
896,quickly
897,disrupt
898,communications
899,int
900,naboo
901,palace
902,throne
903,room
904,queen
905,eirtae
906,sache
907,governor
908,sio
909,bibble
910,stand
911,hologram
912,senator
913,palpatine
914,thin
915,kindly
916,man
917,palpatine
918,could
919,true
920,assurances
921,chancellorhis
922,ambassaodrs
923,arrive
924,must
925,thegetnegotiate
926,hologram
927,palpatione
928,sputters
929,fades
930,away
931,amidala
932,senator
933,palpatine
934,turns
935,panaka
936,whats
937,happening
938,captain
939,panaka
940,turns
941,sargeant
942,capt
943,panaka
944,check
945,transmission
946,generators
947,bibble
948,malfunction
949,capt
950,panaka
951,could
952,federation
953,jamming
954,us
955,highness
956,bibble
957,communications
958,disruption
959,mean
960,one
961,thing
962,invasion
963,amidala
964,dont
965,jump
966,conclusions
967,governor
968,federation
969,would
970,dare
971,go
972,far
973,capt
974,panaka
975,senate
976,would
977,revoke
978,trade
979,franchise
980,theyd
981,finished
982,amidala
983,must
984,continue
985,rely
986,negotiation
987,bibble
988,negotiation
989,weve
990,lost
991,communicationsand
992,atre
993,chancellors
994,ambassadors
995,negotiate
996,must
997,prepare
998,defend
999,capt
1000,panaka
1001,dangerous
1002,situation
1003,highness
1004,security
1005,volunteers
1006,match
1007,battlehardened
1008,federation
1009,army
1010,amidala
1011,condone
1012,course
1013,action
1014,lead
1015,us
1016,war
1017,ext
1018,space
1019,landing
1020,craft
1021,twilight
1022,fx
1023,six
1024,landing
1025,craft
1026,fly
1027,formation
1028,toward
1029,surface
1030,planet
1031,naboo
1032,ext
1033,naboo
1034,swamp
1035,shallow
1036,lake
1037,twilight
1038,three
1039,landing
1040,craft
1041,slowly
1042,descend
1043,cloud
1044,cover
1045,perpetually
1046,gray
1047,twilight
1048,side
1049,planet
1050,one
1051,one
1052,federation
1053,warships
1054,land
1055,eerie
1056,swamp
1057,obiwans
1058,head
1059,emerges
1060,mud
1061,shallow
1062,lake
1063,background
1064,activities
1065,invasion
1066,force
1067,seen
1068,mist
1069,obiwan
1070,takes
1071,several
1072,deep
1073,breaths
1074,dissapears
1075,muddy
1076,swamp
1077,troop
1078,transports
1079,mtts
1080,emerge
1081,landing
1082,craft
1083,ext
1084,naboo
1085,edge
1086,swamp
1087,grass
1088,plains
1089,twilight
1090,fx
1091,droid
1092,invasion
1093,force
1094,moves
1095,swamp
1096,onto
1097,grassy
1098,plain
1099,oom
1100,tank
1101,looks
1102,vast
1103,army
1104,marching
1105,across
1106,rolling
1107,hills
1108,small
1109,hologram
1110,rune
1111,nute
1112,stands
1113,tank
1114,rune
1115,trace
1116,jedi
1117,may
1118,gotton
1119,onto
1120,one
1121,landing
1122,craft
1123,oom
1124,sir
1125,well
1126,find
1127,moving
1128,swamp
1129,marching
1130,cities
1131,meeting
1132,resistance
1133,nute
1134,excellent
1135,ext
1136,naboo
1137,swamp
1138,twilight
1139,quigon
1140,runs
1141,strange
1142,landscape
1143,glancing
1144,back
1145,see
1146,monstrous
1147,troop
1148,transports
1149,emerging
1150,mist
1151,animals
1152,begin
1153,run
1154,past
1155,panic
1156,odd
1157,froglike
1158,gungan
1159,jar
1160,jar
1161,inks
1162,squats
1163,holding
1164,clam
1165,retrieved
1166,murky
1167,swamp
1168,shell
1169,pops
1170,open
1171,jar
1172,jars
1173,greta
1174,tongue
1175,snaps
1176,grabs
1177,clam
1178,swallowing
1179,one
1180,gulp
1181,jar
1182,jar
1183,looks
1184,sees
1185,quigon
1186,creatures
1187,running
1188,like
1189,wind
1190,toward
1191,one
1192,huge
1193,mtts
1194,bears
1195,jedi
1196,like
1197,charging
1198,locomotive
1199,jar
1200,jar
1201,stands
1202,transfixed
1203,still
1204,holding
1205,clam
1206,shell
1207,one
1208,hand
1209,jar
1210,jar
1211,oh
1212,noooooooooo
1213,jar
1214,jar
1215,drops
1216,shell
1217,grabs
1218,onto
1219,quigon
1220,passes
1221,jedi
1222,caught
1223,surprise
1224,jar
1225,jar
1226,contd
1227,hey
1228,help
1229,help
1230,quigon
1231,let
1232,go
1233,machine
1234,tp
1235,crush
1236,quigon
1237,drags
1238,jar
1239,jar
1240,behind
1241,transport
1242,hit
1243,quigon
1244,drops
1245,jar
1246,jar
1247,goes
1248,splat
1249,mud
1250,transport
1251,races
1252,overhead
1253,quigon
1254,jar
1255,jar
1256,pull
1257,mud
1258,stand
1259,watching
1260,war
1261,machine
1262,dissapear
1263,mist
1264,jar
1265,jar
1266,grabs
1267,quigon
1268,hugs
1269,jar
1270,jar
1271,oyi
1272,mooiemooie
1273,luv
1274,yous
1275,froglike
1276,creature
1277,kisses
1278,jedi
1279,quigon
1280,brainless
1281,almost
1282,got
1283,us
1284,killed
1285,jar
1286,jar
1287,spake
1288,quigon
1289,ability
1290,speak
1291,make
1292,intelligent
1293,get
1294,outta
1295,quigon
1296,starts
1297,move
1298,jar
1299,jar
1300,follows
1301,jar
1302,jar
1303,nono
1304,mesa
1305,staymesa
1306,yous
1307,humble
1308,servaunt
1309,quigon
1310,wont
1311,necessary
1312,jar
1313,jar
1314,oh
1315,boot
1316,tis
1317,tis
1318,demunded
1319,byda
1320,guds
1321,tis
1322,live
1323,debett
1324,tis
1325,mesa
1326,culled
1327,jaja
1328,binkss
1329,distance
1330,two
1331,staps
1332,burst
1333,mist
1334,high
1335,speed
1336,chasing
1337,obiwan
1338,quigon
1339,time
1340,jar
1341,jar
1342,say
1343,two
1344,staps
1345,barrell
1346,obiwan
1347,jar
1348,jar
1349,contd
1350,oh
1351,nooooo
1352,weesa
1353,ganna
1354,quigon
1355,throws
1356,jar
1357,jar
1358,mud
1359,quigon
1360,stay
1361,head
1362,pops
1363,jar
1364,jar
1365,dieeee
1366,two
1367,troops
1368,fire
1369,laser
1370,bolts
1371,obiwan
1372,quigon
1373,deflects
1374,bolts
1375,back
1376,staps
1377,blow
1378,onetwo
1379,obiwan
1380,exhausted
1381,tries
1382,catch
1383,breath
1384,obiwan
1385,sorry
1386,master
1387,water
1388,fried
1389,weapon
1390,obiwan
1391,pulls
1392,burnt
1393,laser
1394,sword
1395,handle
1396,quigon
1397,inspects
1398,jar
1399,jar
1400,pulls
1401,mud
1402,quigon
1403,forgot
1404,turn
1405,power
1406,didnt
1407,obiwan
1408,nods
1409,sheeplishly
1410,quigon
1411,contd
1412,wont
1413,take
1414,long
1415,recharge
1416,lesson
1417,hope
1418,youve
1419,learned
1420,young
1421,padawan
1422,obiwan
1423,yes
1424,master
1425,jar
1426,jar
1427,yousa
1428,saved
1429,hey
1430,obiwan
1431,whats
1432,quigon
1433,local
1434,lets
1435,go
1436,droids
1437,show
1438,jar
1439,jar
1440,mure
1441,mure
1442,spake
1443,obiwan
1444,quigon
1445,start
1446,run
1447,jar
1448,jar
1449,tries
1450,keep
1451,jar
1452,jar
1453,contd
1454,exsqueeze
1455,da
1456,moto
1457,grande
1458,safe
1459,place
1460,would
1461,otoh
1462,gunga
1463,tis
1464,grew
1465,uptis
1466,safe
1467,city
1468,stop
1469,quigon
1470,city
1471,jar
1472,jar
1473,nods
1474,head
1475,take
1476,us
1477,jar
1478,jar
1479,ahhh
1480,willon
1481,second
1482,tautno
1483,willy
1484,quigon
1485,jar
1486,jar
1487,iss
1488,embarrissing
1489,boot
1490,afrai
1491,myve
1492,bean
1493,banished
1494,forgoten
1495,der
1496,bosses
1497,would
1498,terrible
1499,tings
1500,terrible
1501,tings
1502,goen
1503,back
1504,dare
1505,pulsating
1506,sound
1507,heard
1508,distance
1509,quigon
1510,hear
1511,jar
1512,jar
1513,shakes
1514,head
1515,yes
1516,quigon
1517,contd
1518,thats
1519,sound
1520,thousand
1521,terrible
1522,things
1523,heading
1524,way
1525,obiwan
1526,find
1527,us
1528,crush
1529,us
1530,grind
1531,us
1532,little
1533,pieces
1534,blast
1535,us
1536,oblivion
1537,jar
1538,jar
1539,oh
1540,yousa
1541,point
1542,well
1543,seen
1544,dis
1545,way
1546,hurry
1547,jar
1548,jar
1549,turns
1550,runs
1551,swamp
1552,ext
1553,naboo
1554,swamp
1555,lake
1556,twilight
1557,quigon
1558,obiwan
1559,jar
1560,jar
1561,run
1562,murky
1563,lake
1564,stop
1565,jar
1566,jar
1567,tries
1568,catch
1569,breath
1570,transports
1571,heard
1572,distance
1573,quigon
1574,much
1575,farther
1576,jar
1577,jar
1578,wesa
1579,goen
1580,underwater
1581,okeyday
1582,quigon
1583,obiwan
1584,pull
1585,small
1586,capsule
1587,utility
1588,belts
1589,turn
1590,breathing
1591,masks
1592,jar
1593,jar
1594,contd
1595,warning
1596,yous
1597,gungans
1598,liken
1599,outlaunders
1600,dont
1601,expict
1602,wern
1603,welcome
1604,obiwan
1605,dont
1606,worry
1607,day
1608,warm
1609,welcomes
1610,jar
1611,jar
1612,jumps
1613,double
1614,somersault
1615,twist
1616,dives
1617,water
1618,breath
1619,masks
1620,quigon
1621,obiwan
1622,wade
1623,ext
1624,naboo
1625,lake
1626,underwater
1627,quigon
1628,obiwan
1629,swim
1630,behind
1631,jar
1632,jar
1633,much
1634,home
1635,water
1636,swim
1637,murky
1638,depths
1639,distance
1640,glow
1641,otoh
1642,gunga
1643,underwater
1644,city
1645,made
1646,large
1647,bubbles
1648,becomes
1649,distinct
1650,approach
1651,strange
1652,art
1653,nouveau
1654,habitat
1655,jar
1656,jar
1657,swims
1658,magically
1659,one
1660,bubble
1661,membranes
1662,seals
1663,behind
1664,obiwan
1665,quigon
1666,follow
1667,int
1668,otoh
1669,gunga
1670,city
1671,square
1672,gungans
1673,square
1674,scatter
1675,see
1676,strange
1677,jedi
1678,four
1679,guards
1680,armed
1681,long
1682,electropoles
1683,ride
1684,twolegged
1685,kaadus
1686,square
1687,guards
1688,led
1689,captain
1690,tarpals
1691,point
1692,lethal
1693,poles
1694,dripping
1695,trio
1696,jar
1697,jar
1698,heyodalee
1699,capn
1700,tarpals
1701,mesa
1702,back
1703,capt
1704,tarpals
1705,noah
1706,gain
1707,jar
1708,jar
1709,yousa
1710,goen
1711,tada
1712,bosses
1713,yousa
1714,big
1715,dudu
1716,time
1717,capt
1718,tarpals
1719,gives
1720,jar
1721,jar
1722,slight
1723,zap
1724,power
1725,pole
1726,jar
1727,jar
1728,jumps
1729,moves
1730,followed
1731,two
1732,jedi
1733,jar
1734,jar
1735,wude
1736,int
1737,otoh
1738,gunga
1739,high
1740,tower
1741,board
1742,room
1743,bosses
1744,board
1745,room
1746,bubble
1747,walls
1748,small
1749,lighted
1750,fish
1751,swimming
1752,around
1753,outside
1754,like
1755,moving
1756,stars
1757,long
1758,circular
1759,judges
1760,bench
1761,filled
1762,gungan
1763,officials
1764,dominates
1765,room
1766,obiwan
1767,quigon
1768,stand
1769,facing
1770,boss
1771,nass
1772,sits
1773,bench
1774,higher
1775,others
1776,boss
1777,nass
1778,yousa
1779,bees
1780,hair
1781,dis
1782,army
1783,mackineeks
1784,dare
1785,tis
1786,new
1787,weesong
1788,quigon
1789,droid
